id,Context,Name,create_time
46,"About the job
DUTY & RESPONSIBILITIES
We are looking for a talented Machine Learning Engineer to join our team and work on developing an internal enterprise chatbot using GPT and LLaMA models. In this role, you will be responsible for designing, building, and maintaining the machine learning models used in the chatbot. You will also work closely with our software development team to integrate the models into the chatbot.
• Develop machine learning models using GPT and LLaMA models to power an internal enterprise chatbot.
• Collaborate with software development teams to integrate the models into the chatbot.
• Conduct experiments to optimize model performance and accuracy.
• Analyze data and identify opportunities for model improvement.
• Design and implement appropriate machine learning algorithms and architectures for the chatbot.
• Implement and optimize distributed training of large-scale models on clusters.
• Stay up-to-date with the latest research in machine learning, natural language processing, and conversational AI.

MAIN REQUIREMENTS
Must have skills:
· At least 4 years of experience in Machine Learning or relavant positions (Data scientist, AI engineer, .etc).
· Proficiency in Python
· Experience with deep learning frameworks such as TensorFlow, PyTorch, Scikit Learn or Keras.
· Experience with natural language processing (NLP) and conversational AI.
· Strong mathematical background in linear algebra, probability theory, and statistics.
· Experience in building up end-to-end Machine Learning pipeline.
· Good command of English communication

Good to have skills:
· Experience in designing and implementing machine learning models using GPT and Llama models.
· Experience with distributed computing frameworks such as Hadoop, Spark, etc.
· Experience with Cloud (AWS, Azure, etc.)
· Experience with data engineering

WHY YOU SHOULD JOIN US
Salary: Up to 850 Million VND gross/ year
18 paid leaves/year (12 annual leaves and 6 personal leaves)
Insurance plan based on full salary + 13th month salary + Performance bonus.
Meal allowance of 730,000 VND/month
100% full salary and benefits as an official employee from the 1st day of working
Medical benefit for employee and family
Working in a fast-paced, flexible, and multinational working environment. Chance to travel onsite (in 49 countries)
Free snacks, refreshment, and parking
Internal training (Technical & Functional & English)
Working time: 09:00 AM - 06:00 PM from Mondays to Fridays (meal breaks included)

For more support and information, please contact:
Ha Thi Thu Huong (Ms.) – Talent Acquisition Executive
HCL Vietnam Company Limited
Mobile/Zalo/Whatsapp: (+84) 382356340
Email: huong.ha@hcl.com
LinkedIn: https://www.linkedin.com/in/huonggha/

ABOUT HCL VIETNAM
HCL Vietnam Company Limited belongs to HCLTech which is a global technology company, home to 222,270+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering and cloud, powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Consolidated revenues as of 12 months ending September 30, 2022, totaled $12.1 billion.
HCL Vietnam’s offices:
Hanoi Office: Level 13-17, Leadvisors Tower, 643 Pham Van Dong Street, Co Nhue Ward, North Tu Liem District, Hanoi
HCMC Office: Level 11, Five Star Tower, 28Bis Mac Dinh Chi Street, Da Kao Ward, District 1, HCMC
HCL Website: https://www.hclvietnam.com/","Machine Learning Engineer (NLP)","2023-05-28 21:07:04"
47,"About the job
*** We highly appreciate your interest in this position of HCL Vietnam. After reviewing all applications, only qualified candidates will be contacted for the next steps within 15 days from date of submission.

JOB TITLE: Data Engineer - Google Cloud (up to 900 triệu VNĐ/năm)

HCL Vietnam Ltd
HCL Vietnam Company Limited belongs to HCLTech which is a global technology company, home to 222,270+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering and cloud, powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Consolidated revenues as of 12 months ending September 30, 2022, totaled $12.1 billion.

We offer an integrated portfolio of products, solutions, services, and IP through our Mode 1-2-3 strategy built around Digital, IoT, Cloud, Automation, Cybersecurity, Analytics, Infrastructure Management and Engineering Services, amongst others, to help enterprises reimagine their businesses for the digital age.

HCL Vietnam’s location:
• Hanoi Office: Level 24, Leadvisors Tower, 643 Pham Van Dong Street, North Tu Liem District,
• HCMC Office: Five Stars Tower, 28Bis Mac Dinh Chi, District 1, HCMC HCL
Website: https://www.hclvietnam.com/

JOB DESCRIPTION
Job Title: Data Engineer – Google Cloud (GCP)
Location: HCMC
Email: recruit.hanoi@hcl.com

DUTY & RESPONSIBILITIES
• You will be responsible for building and running the data processing pipeline on Google cloud platform
• Work with implementation teams from concept to operations, providing deep technical expertise for successfully deploying large scale data solutions in the enterprise, using modern data/analytics technologies on GCP
• Design pipelines and architectures for data processing
• Implement methods for Devops automation of all parts of the build data pipelines to deploy from development to production
• Formulate business problems as technical data problems while ensuring key business drivers are captured in collaboration with product management
• Extract, load, transform, clean and validate data
• Supporting and debugging data pipelines

MAIN REQUIREMENTS
Must-have:
• From 3-8 years of experience as Data Engineer
• At least 2 years of experience in Google Cloud Platform (General infrastructure & services and particular data services such as BigQuery, DataFlow, AirFlow,…)
• Strong in programming language – Python, secondary language (Java) is a plus
• Having relative experience in Databases: SQL and NoSQL
• Have a strong engineering mindset to automate tasks, identify use cases, test cases, improve the system, PR/Incident resolution and deployments
Good to Have:
• Having relative experience in Containerization: Docker, Kubernetes
• Having relative experience in declarative CI/CD or DevOps
• Having relative experience in Infrastructure as a Code (IaaC) (i.e., Terraform, Cloud Build)
• Automated testing (ideally Robot Framework)
• Having relative experience in Data management: Data Governance/ Data Architecture / Data Modelling/ Data Quality/ Data Integration

BENEFITS
• Attractive package including base salary + 13th month salary + Performance Bonus
• Insurance based on full base salary
• 100% of full salary and benefits as an official employee from the 1st day of working
• Medical Benefit (Bao Viet Insurance Package) for Employee and Family
• Working in a fast paced, flexible, and multinational working environment with opportunity to travel onsite (in 49 countries)
• Internal Training (Technical & Functional & English)
• Working time: 8:30 am-6:00 pm from Mondays to Fridays
• Career development in a giant tech group just entering Vietnam market

For more information, please reach me at mai.nguyen@hcl.com","Data Engineer - Google Cloud/GCP (up to 900 triệu VNĐ/năm)","2023-05-28 21:07:07"
48,"About the job
We are seeking a skilled and motivated AIGC (Artificial Intelligence and Graph Computing) Developer to join our dynamic team. As an AIGC Developer, you will play a crucial role in developing and implementing advanced AI algorithms and graph computing techniques to solve complex business problems. Your primary responsibility will be to design, develop, and deploy AI models and graph-based solutions that enable data-driven decision-making and optimization across various domains.

Responsibilities:
Collaborate with cross-functional teams, including data scientists, software engineers, and domain experts, to understand business requirements and design AI and graph computing solutions.
Research, develop, and implement state-of-the-art AI algorithms and techniques, such as machine learning, deep learning, natural language processing, and computer vision, to extract insights from structured and unstructured data.
Design and develop scalable graph-based data models, graph algorithms, and graph database solutions to solve complex problems related to network analysis, social network analysis, recommendation systems, fraud detection, and knowledge graph construction.
Create robust and efficient software code to implement AI and graph-based solutions using programming languages such as Python, Java, or Scala.
Perform data preprocessing, feature engineering, and data integration tasks to ensure the quality and suitability of data for AI and graph computing tasks.
Evaluate and fine-tune AI models and graph algorithms for performance optimization, accuracy improvement, and scalability.
Collaborate with software engineering teams to integrate AI and graph-based solutions into existing or new applications, systems, and platforms.
Stay updated with the latest advancements in AI, graph computing, and related technologies and apply them to enhance the organization's capabilities and competitive edge.
Document development processes, methodologies, and algorithms to ensure the reproducibility and maintainability of AI and graph-based solutions.
Participate in code reviews, testing, and debugging activities to ensure the delivery of high-quality software solutions.

Requirements:
Bachelor's or Master's degree in Computer Science, Engineering, Mathematics, or a related field.
Solid understanding of AI concepts, algorithms, and techniques, such as machine learning, deep learning, natural language processing, and computer vision.
Proficiency in programming languages such as Python, Java, or Scala, and experience with AI libraries and frameworks like TensorFlow, PyTorch, or scikit-learn.
Strong knowledge of graph computing concepts, graph databases (e.g., Neo4j, Amazon Neptune), and graph query languages (e.g., Cypher, SPARQL).
Experience with graph analytics and graph algorithm libraries (e.g., NetworkX, Apache Giraph) is preferred.
Familiarity with data preprocessing techniques, feature engineering, and data integration for AI and graph computing tasks.
Strong problem-solving skills and the ability to analyze complex business problems and design innovative solutions.
Excellent coding practices and ability to write clean, modular, and efficient code.
Strong communication skills and ability to work effectively in a team environment.
Familiarity with cloud platforms (e.g., AWS, Azure, Google Cloud) and experience deploying AI and graph computing solutions in a cloud environment is a plus.
Prior experience in applying AI and graph computing techniques to real-world business problems is desirable.

Join our team and contribute to the development of cutting-edge AI and graph computing solutions that drive innovation and deliver business value.","AIGC Engineer","2023-05-28 21:07:10"
49,"About the job
Job Purpose

The job holder is responsible for designing and developing programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from disparate sources and implement complex business logic as needed with the available data processing tools.
The job holder will be responsible for integrating new data sources to increase throughput of existing systems, managing data pipelines that facilitate robust analysis, and sourcing và preparing data to ensure data completeness on metadata platforms.

Key Accountabilities (1)

Data Architecture

Deliver functionality required for business and data analysts, data scientists and other business roles to advance the overall analytic performance and strategy of the bank
Build the best practices and strategies for data infrastructure to fulfill data analytic and utilization needs of the business with emerging latest technologies and capabilities.
Proactively drive the effort of identifying opportunities to manage data and provide solutions for complex data feeds within the bank.
Evaluate various data architectures in the bank and utilize them to develop data solutions to meet business requirements.
Drive the delivery of data products and services into systems and business processes in compliance with internal regulatory requirements.
Oversee the review of internal and external business and product requirements for data operations and activity and suggests changes and upgrades to systems and storage to accommodate ongoing needs.

Key Accountabilities (2)

Data Integration

Strategically obtain and integrate data and information from various sources into the firm’s platforms, solutions and statistical models.
Lead discussion with Data Scientists to understand the data requirements and create re-usable data assets to enable data scientists to build and deploy machine learning models faster.
Design, build, and maintain optimized data pipelines and ETL solutions as business support tools in providing analysis and real time analytics platform for critical decision making.
Ensure data assets are organized and stored in an efficient way so that information is high quality, reliable, flexible, and efficient.

Key Accountabilities (3)

Project Management

Manage project conflicts, challenges and dynamic business requirements to keep operations running at high performance.
Work with team leads to resolve people problems and project roadblocks, conduct post mortem and root cause analysis to help squads continuously improve their practices to ensure maximum productivity.

Talent Development

Mentor and coach junior fellows into fully competent Data Engineers.
Identify and encourage areas for growth and improvement within the team.

Key Relationships - Direct Manager

Senior Manager / Manager, Data Engineering

Key Relationships - Direct Reports

Key Relationships - Internal Stakeholders

Key Relationships - External Stakeholders

Partners providing professional services

Success Profile - Qualification and Experiences

Qualifications

Bachelor's or Master’s degree in Statistics, Mathematics, Quantitative Analysis, Computer Science, Software Engineering or Information Technology

Work Experience

8+ years of relevant experience with developing, debugging, scripting and employing big data technologies (e.g. Hadoop, Spark, Flink, Kafka, Arrow, Tableau), database technologies (e.g. SQL, NoSQL, Graph databases), and programming languages (e.g. Python, R, Scala, Java, Rust, Kotlin) with preference towards functional/trait oriented
English proficiency requirements are pursuant to Techcombank's policy
Deep experience in designing and building dimensional data models, ETL processes, applied data warehouse concepts and methodologies, optimized data pipelines and wore the architect hat in the past or worked with one extensively
Deep experience with monitoring complex system and solving data and systems issues having a consistent and algorithmic approach to resolving them
Deep understanding of Information Security principles to ensure compliant handling and management of all data
Experience working in Agile teams to lead successful digital transformation projects, having mastered Agile principles, practices and Scrum methodologies
Has the know-how and the scripting and coding prowess to set up, configure và maintain a machine learning model development environment
Experience architecting, coding and delivering high performance micro services and/or recommenders delivering recommendations to (tens of) millions of users","Expert, Data Engineering (40000062)","2023-05-28 21:07:14"
50,"About the job
LOCATION: Remote Work

SCHEDULE: Part-time

Are you passionate about software development and seeking a remarkable opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Python Developer Intern to join our esteemed client. This remote position presents a fantastic opportunity for someone who is eager to learn and grow in a dynamic and fast-paced environment.

As a Python Developer Intern, you will work closely with the software development and consulting teams, where you will be responsible for a variety of tasks, including software design, development, and debugging. You will have the unique chance to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this opportunity, you will gain valuable experience in software development, data analysis, and teamwork – all essential skills for a successful career in this field.

Responsibilities:

Assist in the design, implementation, and maintenance of software applications
Collaborate with cross-functional teams to gather requirements and develop solutions
Conduct research on emerging software technologies and trends
Participate in software debugging and performance optimization
Test and debug applications to ensure optimal performance and security
Support the team with general administrative tasks as needed
Contribute to the creation of technical documentation and user guides

Requirements:

Basic understanding of software development principles and practices
Familiarity with Python and its associated libraries
Excellent written and verbal communication skills in English
Ability to work independently and as part of a team
Strong analytical and problem-solving skills
Knowledge of database systems, such as MySQL, PostgreSQL, is a plus
Experience with version control systems, such as Git, is a plus

At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in software development – apply now!","Junior Python Developer (Remote Internship – IT)","2023-05-28 21:07:17"
51,"About the job
Please visit this Google Careers posting for the Vietnamese-translated version of this role.Minimum qualifications:

Bachelor's degree in Computer Science or a related technical field or equivalent practical experience.
5 years of experience in Technical Program Management.
Experience in enterprise architecture practices and hybrid cloud deployments.

Preferred qualifications:

Master's degree in Engineering or a related technical field.
3 years of experience as a Program or Engineering Manager, with domain expertise in analytics platforms, API development, or process automation.
Experience operating in an entrepreneurial environment and scaling new and emerging products from the ground up.
Demonstrated ability to work cross-functionally.
Ability to travel up to 20% of the time.

About The Job

A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Technical Program Manager at Google, you’ll use your technical expertise to lead complex, multi-disciplinary projects from start to finish. You’ll work with stakeholders to plan requirements, identify risks, manage project schedules, and communicate clearly with cross-functional partners across the company. You're equally comfortable explaining your team's analyses and recommendations to executives as you are discussing the technical tradeoffs in product development with engineers.

Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company.

Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.

Responsibilities

Manage technical projects or programs, working closely with Google engineers and technical staff to develop and track release milestones and schedules.
Anticipate user needs before they arise. Go beyond standard off-the-shelf solutions to predict where the market is trending and where future opportunities lie.
Guide products throughout the execution cycle, focusing specifically on the user experience and tailoring our solutions to our users.
Build a community of loyal users who love and use our products.
Develop tools and processes to improve software engineering productivity and own technical relationships with vendors and partners.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .","Technical Program Manager, Manufacturing Software Systems","2023-05-28 21:07:21"
52,"About the job
WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it.

Technologists at WorldQuant research, design, code, test and deploy firmwide platforms and tooling while working collaboratively with researchers and portfolio managers. Our environment is relaxed yet intellectually driven. We seek people who think in code and are motivated by being around like-minded people.

The Role: WorldQuant is seeking an exceptional individual to join the firm as a Machine Learning Engineer. While prior finance experience is not required, a successful candidate must possess a strong interest in learning about finance and global markets. Machine Learning Engineers will design, code and implement complex proprietary pipelines, models and tools to drive our forecast business. You will collaborate with researchers and PM’s to gather, analyze and spec out requirements, develop/test code, and manage product deliverables. A successful candidate will help build the software that will be used by Portfolio Managers to construct portfolios.

What You’ll Bring

M.Sc./Ph.D. from a leading university in a Computer Science, Engineering, or related discipline
Experience designing and operating complex machine learning models and data pipelines
Experience building distributed or data intensive systems
Excellent problem solving abilities, insight, and judgment as well as a strong attention to detail
Experience programming production systems in Python or C++
Experience working in Linux environments
Strong communication skills; ability to express complex concepts in simple terms
Understanding of basic probability, statistical inference, software solvers, mathematical optimization is a big plus
Experience building CI/CD pipelines is a big plus

What We Offer

Competitive and attractive compensation package with clear career road-map – where you feel challenged everyday
We offer a strong culture of learning and development: training courses, library, speakers, share and learn events
Learn from who sits next to you! Working in WQ you are surrounded by smart and talented people
Employee resources groups with strong diversity and inclusion culture
Premium Health Insurance and Employee Assistance Program
Generous time-off policy, re-creation sabbatical leave (based on tenure), Trade Union benefits for staff and family
Team building activities every month: Local engagement events, monthly team lunch – Employee clubs: football, ping-pong, badminton, yoga, running, PS5, movies, etc.
Annual company trip and occasional global conferences – opportunity to travel and connect with our global teams
Happy-hour with tea break, snacks and meals every day in the office!

By submitting this application, you acknowledge and consent to terms of the WorldQuant Privacy Policy. The privacy policy offers an explanation of how and why your data will be collected, how it will be used and disclosed, how it will be retained and secured, and what legal rights are associated with that data (including the rights of access, correction, and deletion). The policy also describes legal and contractual limitations on these rights. The specific rights and obligations of individuals living and working in different areas may vary by jurisdiction.

Copyright © 2023 WorldQuant, LLC. All Rights Reserved.

WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law.","Machine Learning Engineer","2023-05-28 21:07:24"
53,"About the job
Position Responsibilities
Feature owner for advanced auto parking systems ranging from traditional to fully autonomous.
Direct interface to customers/suppliers for end-2-end requirement elicitation, development, testing, and launch.
Lead developing of concepts, requirement, scenarios/use cases and integration, and confirmation testing.
Work with each relevant team to ensure requirements and specification are fully and correctly implemented.
Create opportunities for continual improvements in the quality of work.
Rapidly iterate and develop concepts that exceeds the expectations of our customers.
Support testing, validation, and verification, ensuring high quality, on-time delivery, and overall system compliance with specifications.
Plan and execute project milestone to ensure deliverables meet department/company targets.
Documentation of system development deliverables.
Building knowledge to meet the VinFast customer needs, regulation, and ensure that the expectations of user is reflected in both requirements and concepts.

Position requirements
Technical skills required:
5+ years of industry experience in ADAS system development and validation.
Expert knowledge and experience in development of Autonomous /Automated parking related systems. OEM related experience is a plus.
Experienced in mapping, localization systems for autonomous parking.
Strong experience in requirement specifications, requirement management, test case generation.
Hands-on experience on feature testing at vehicle level including testing procedures and signal analysis software toolchain.
Solid experience and knowledge in AD/ADAS sensors/ECU and EE architecture, automotive communication protocols: LIN, CAN, FR, ETH, etc.
Knowledgeable and experience including but not limited to the following domains: packaging, powertrain and chassis from mechanical and electrical, control aspects.
Mix of hands-on skills in interdisciplinary engineering fields: mechanical, electrical, and programing skills.
Knowledgeable in the following domains is preferred: global NCAPs, FUSA, SOTIF, and FMEA.
Proven achievement in team-lead experience in mission-critical product development environments.
Skillful automotive software’s: CANOE, CANape, MATLAB, CATIA, CODEBEAMER, DOORS, JIRA.
BS or MS in Engineering in a technical degree in Automotive, Electrical Engineering, Industrial Automation, Computer Science, Electronics and Telecommunications, Informatics, comparable fields

Other skills required:
Strong cross-functional communication and collaboration.
Excellent command of English both verbal and written
Display & build enthusiasm within team environment.
Previous working experience in an international team/ability to work with cross culture team.
Positive attitude and constructive approach while interfacing with peers/suppliers
Strong mentoring and team building skills
Strong presentation and communication skills
Innovative, think inside and outside the box
Firm focus on driving for results
Meticulous attention to detail
Highly motivated and enthusiastic within team environment
Flexible to work in a fast pace constantly changing environment with tight deadlines Come join VinFast and help drive the movement of the global smart EV revolution.","ADAS System Lead Engineer","2023-05-28 21:07:28"
54,"About the job
Description
The Technical Lead is responsible to handle complex software program implementation; Makes, applies and documents detailed designs based on high-level design specifications; Plans, executes and documents unit tests; Is accountable for unit test leakage; Report status and issues; Contributes to system component design and design decisions.
Can play Technical Lead role in project teams.
To communicate project technical issues, progress, and support with clients.
To lead the team in the development area:
Provide practical instructions for design specifications.
Perform coding, code reviewing, and code refactoring to comply with the established coding quality standard of the company.
Review unit test cases, and unit test reports before release for testing.
Conduct and maintain detailed design and component/service design documents.
To develop new skills for team members if any new technologies are required based on the project roadmap.
To self-train new technologies.
To support tasks assigned by Line Manager, Project Manager & Technical Manager:
Perform training/seminars/presales for the company.
Obtain professional certificates.
Qualifications
University degree in Computer Sciences, or equivalent.
5+ year experience Python competence (Linux, Apache/Nginx, MySQL, Python).
Strong knowledge of OOP, SOLID principles.
Strong knowledge of Python, familiar with at least one relevant framework Django/Flask/Falcon.
Strong knowledge of web service development (RESTful/SOAP).
Good knowledge of Linux, web application deployment and maintenance.
Good Awareness of security, performance optimization in web development.
Good to have additional skills:
Experienced in one architecture model: Microservices, service-oriented, event-driven.
Experienced in cloud-based application development – specially AWS.
Experienced in Docker Engine and container orchestration platforms (Docker Swarm/Kubernetes).
Experienced in one JavaScript Front-end framework (Angular/ReactJS/VueJS).
Why You'll Love Working Here
13-month salary per year.
Performance bonus (up to 2-month salary).
Social – Health – Insurance paid fully.
Healthcare: Annual health check-up, Premium Health Insurance .
Annual leaves: 14 ~ 18 days.
Clubs program: Football, Badminton, Swimming, Tennis, Rock, Yoga….
Training courses: Technical skills – Soft skills – English
People are extremely important to us and that’s why we have a clear vision: to make NashTech a great place to work in its sector. We pride ourselves on:
Professional and Flexible Working Environment
Great Teamwork
International Assignments
WeCare - WeShare - WeDare - WeInnovate Engagement Program","Technical Lead – Python","2023-05-28 21:07:31"
55,"About the job
The private capital market hosts 14 trillion dollars of investment that fund massive innovation around the world; yet much of it still operates on manual processes and fragmented legacy systems. Think of the New York City subway system running on analog machines!
Anduin's mission is to be the driving transformation engine for workflow automation, data processing, and systems integrations in this industry. Our products have powered over $44 billion in investments for 23,000+ investors across hundreds of funds.
Anduin’s founding team was composed of leading technologists from Palantir, Addepar, and IBM. We have brought together world-class talent in engineering, product, and business development to actualize the next generation of transactions and analytics in the private markets.
We are looking for Digitization Specialists who will work closely with both engineering, legal and digitization operation teams to take part in various production phases of Anduin Fund Subscription and Fund Operation products (https://fundsub.io).
Job Responsibilities:
Being trained to specialize in digitizing subscription forms, and being able to take part in every step of the process as needed.
Coordinating with cross-functional team members including legal analysts, engineers, and customer success specialists in the digitization process to build and ship highly customized smart forms to customers.
Active in the digitization space to improve digitization efficiency and capacity.
Aligning with the company and team goals, and adapting to changes in technology and processes.
Working closely with the engineering team to add technologies values to form digitization.
Reviewing and analyzing the logic of fund subscription forms for venture, hedge, private equity, and similar funds. Understand and write logic requirements for the forms effectively so that the engineers can implement them.
Addressing requests from clients and consulting engineers in the process of finalizing smart forms.
Additional duties will be added, appropriate to the skills and abilities of the employee.
Job Qualifications:
Excellent at English reading comprehension and communication (MUST)
Logical thinking with good analytical & problem-solving skills
Ability to document and troubleshoot errors
Agility and willingness to learn and adapt to technology
Highly responsible and hardworking
Excellent at time management & detail-oriented
STEM background is a plus
Benefit:
Competitive compensation (salary and equity)
Flexible work environment
Unlimited time-off policy
Health insurance
The opportunity to be trained and join a growing and ambitious team that is passionate about solving customers’ needs","Digitization Specialist ( Welcome Fresher - No experience required)","2023-05-28 21:07:35"
